registered,cnt
164,184
524,580
478,514
178,192
27,32
63,69
5,6
124,133
57,62
83,84
26,26
40,43
388,654
21,22
89,112
218,228
64,75
150,214
262,301
95,98
83,112
269,357
510,513
500,519
4,5
83,92
35,42
315,324
260,295
211,349
231,294
40,41
53,58
327,502
137,154
432,470
4,6
226,240
88,94
127,135
698,713
361,372
198,242
0,3
191,225
216,281
74,99
20,23
120,132
2,7
92,154
128,138
225,258
7,9
46,51
47,54
525,591
2,2
248,306
204,300
479,538
132,206
189,224
125,188
1,1
346,544
549,597
300,337
44,47
246,323
26,36
44,45
98,120
73,82
252,292
241,296
2,2
26,27
509,570
52,58
122,153
81,108
338,357
17,17
65,74
136,180
125,137
70,73
177,310
49,76
177,274
201,270
192,207
204,256
103,132
172,236
489,507
94,140
146,152
169,229
180,218
86,101
220,269
251,343
53,54
149,186
189,194
86,93
34,38
299,335
161,202
361,593
86,89
26,26
157,238
277,312
82,129
4,6
4,5
144,152
354,597
6,8
178,203
17,17
36,37
239,363
17,18
7,7
323,365
67,69
49,61
400,427
66,90
255,376
62,67
445,702
775,869
111,199
95,107
337,398
120,173
6,11
29,33
126,274
380,432
242,350
7,9
74,86
385,420
197,254
88,107
94,108
247,299
75,102
82,97
292,331
20,24
61,62
3,5
13,23
209,248
107,111
230,239
2,4
495,565
252,339
66,77
55,57
109,112
2,3
319,433
193,235
75,76
149,167
139,178
43,43
48,49
329,413
172,179
30,31
181,226
194,266
124,163
159,178
96,111
276,331
275,452
160,194
464,517
876,963
97,125
230,307
774,794
174,188
3,3
167,268
30,34
164,172
162,187
7,7
288,321
327,582
19,20
14,18
7,8
43,50
222,343
21,21
181,189
153,154
109,127
11,11
245,308
54,59
305,626
262,359
53,55
209,229
40,52
255,367
25,36
178,205
11,11
201,388
51,65
102,184
255,318
81,95
712,731
208,277
183,213
269,341
86,130
163,208
251,323
490,539
233,290
87,143
115,165
43,67
49,56
5,6
79,134
95,98
140,154
236,243
189,197
96,101
652,724
4,6
24,29
88,92
22,22
43,53
185,236
289,315
52,52
114,132
554,645
109,131
3,3
387,396
329,363
241,369
39,49
9,10
860,967
327,393
180,204
2,2
4,5
566,642
169,207
100,106
18,18
154,187
321,590
2,4
95,102
223,292
171,232
213,324
1,1
1,1
308,340
161,255
5,10
28,40
8,10
94,152
131,176
211,216
17,20
116,154
9,13
163,183
48,61
391,406
217,350
159,213
2,2
137,244
291,351
808,838
143,158
378,391
6,8
140,278
733,834
35,36
171,215
115,164
228,386
91,118
1,1
4,4
10,11
29,30
136,156
426,437
137,215
171,198
7,7
47,54
187,195
6,6
108,142
19,23
89,119
350,371
153,203
19,24
398,435
286,337
1,1
223,248
100,115
97,99
1,1
130,139
2,2
6,10
256,338
169,217
60,68
1,2
423,487
52,65
86,125
59,74
5,11
518,559
148,170
21,32
143,155
62,72
102,107
242,253
260,310
17,20
47,52
299,482
386,421
488,582
249,325
692,725
150,168
300,300
95,147
565,614
11,12
8,8
746,779
142,172
1,1
111,138
116,130
160,223
469,553
1,1
533,549
29,40
659,692
40,57
117,175
2,2
7,13
74,76
58,73
272,440
11,12
57,74
5,6
3,4
166,203
142,184
308,407
213,226
62,82
127,132
319,373
236,292
241,475
83,130
5,5
765,827
3,3
119,185
200,219
107,109
6,6
16,17
408,418
6,20
113,145
57,73
76,87
284,335
113,136
350,452
132,166
15,21
82,83
388,420
142,153
122,158
454,513
20,32
352,447
86,121
173,268
190,268
350,546
56,56
76,95
174,190
176,363
181,313
175,194
22,24
50,71
29,30
84,119
113,163
108,112
283,411
604,646
237,271
758,797
56,66
264,309
21,23
104,115
132,150
234,329
688,782
652,662
58,58
66,66
100,112
27,39
432,476
271,326
156,172
61,77
115,134
664,705
16,21
214,274
306,331
19,25
260,404
331,609
196,271
24,32
78,87
5,8
19,20
226,238
93,120
290,538
14,20
312,403
152,158
289,417
253,414
170,228
5,8
507,579
83,89
122,157
203,234
237,242
681,767
570,590
11,11
126,136
214,235
85,109
83,90
16,21
449,464
4,4
124,147
582,698
142,198
4,5
191,213
341,442
13,13
189,240
621,738
30,37
59,66
160,219
348,362
223,233
24,29
151,209
88,96
179,214
125,183
164,169
451,525
232,345
7,14
150,165
324,362
2,2
74,88
11,15
164,183
7,8
17,17
117,146
227,291
113,132
751,844
10,17
10,11
30,33
381,406
8,8
75,91
7,8
286,299
415,428
195,228
260,300
243,314
159,216
62,75
255,365
214,263
302,342
302,311
34,39
310,324
2,2
75,93
316,349
18,23
8,12
2,2
363,458
211,230
577,604
152,185
244,255
61,73
104,114
304,361
56,64
37,55
174,182
40,41
132,169
94,104
22,39
292,308
7,14
8,10
796,900
14,14
172,247
83,117
102,168
209,292
120,129
25,42
223,273
648,673
9,12
103,140
0,1
229,317
11,13
1,1
53,72
86,98
220,331
172,224
47,48
199,283
12,12
360,373
53,77
45,50
495,531
5,8
4,5
66,77
467,533
49,57
95,99
486,563
169,181
201,254
35,40
26,28
136,201
3,3
184,191
34,36
33,34
216,263
161,209
263,371
184,195
151,163
132,148
138,172
89,91
251,292
245,373
12,14
2,2
487,547
22,27
20,26
308,345
141,157
102,121
206,285
222,233
94,103
50,54
162,173
2,3
6,13
121,152
95,144
223,324
222,250
99,102
85,140
282,437
187,190
194,234
9,10
3,3
168,177
116,137
64,92
9,21
31,36
44,44
204,220
10,13
719,804
115,151
39,54
3,3
144,175
661,800
90,124
84,102
5,5
15,17
11,12
12,12
87,95
159,184
128,171
34,36
132,156
127,138
59,68
78,89
181,258
28,40
9,9
49,70
279,300
288,583
121,156
8,11
17,18
8,10
703,740
777,801
582,592
42,42
11,16
4,5
24,39
1,1
106,113
46,47
66,80
53,55
593,830
176,237
14,14
302,392
192,278
119,193
253,312
51,64
2,2
28,30
107,109
150,174
208,271
58,70
697,794
70,71
6,6
4,4
214,238
222,298
143,206
145,197
31,39
248,270
2,2
197,199
289,350
201,241
144,187
77,108
319,455
168,223
3,5
62,72
103,121
94,119
242,406
128,135
151,154
194,239
142,162
119,142
88,102
110,151
237,387
13,14
28,34
30,36
313,372
247,327
198,233
239,341
14,16
105,117
197,217
6,7
31,32
220,288
121,143
281,451
56,73
139,214
10,16
538,557
135,177
3,4
132,136
55,66
182,199
492,570
220,264
6,11
282,372
201,208
64,65
206,285
3,7
19,23
35,36
144,167
288,375
147,203
10,10
56,81
29,35
152,202
73,75
151,185
204,251
134,193
79,86
387,399
397,425
164,235
18,21
292,512
79,85
25,33
22,38
18,20
45,55
298,374
255,308
1,1
189,274
55,96
618,661
10,11
1,1
338,690
254,379
542,565
202,227
8,8
29,31
34,36
30,33
17,19
238,318
92,111
3,6
642,682
53,62
57,59
166,202
202,290
4,4
70,123
339,354
263,367
51,75
157,217
94,110
123,157
104,116
372,417
45,70
467,492
23,26
288,436
34,35
382,417
350,463
282,299
190,220
7,8
1,1
135,145
3,3
357,362
501,543
156,161
31,44
3,3
87,105
145,191
6,7
361,423
135,183
239,370
141,190
31,33
116,137
32,33
194,250
30,34
183,274
187,196
205,237
2,2
220,261
187,253
24,26
77,123
288,340
155,200
126,131
12,18
101,106
78,100
245,363
664,732
691,738
4,7
484,508
312,387
181,192
41,59
163,211
8,13
219,320
130,152
2,2
199,206
80,95
95,105
276,497
101,106
400,710
3,5
81,107
105,109
269,327
458,489
0,1
70,90
1,2
275,307
346,370
137,149
63,73
196,247
190,197
2,2
240,315
61,79
115,142
11,13
12,21
64,83
155,161
465,532
216,226
438,523
105,135
23,30
25,32
64,72
127,301
88,97
1,1
39,41
150,157
137,210
274,464
245,286
81,96
174,287
3,3
135,139
63,72
225,270
190,197
128,133
7,7
162,235
342,515
48,53
5,6
89,107
77,96
92,129
54,54
90,133
177,238
114,134
139,204
348,493
108,113
104,112
4,4
10,11
177,191
211,223
20,20
22,24
162,232
19,23
27,33
171,178
25,36
353,387
44,51
531,640
281,360
3,3
246,421
237,301
317,494
84,105
212,335
127,134
462,563
279,411
141,151
6,6
326,341
44,54
347,614
46,65
253,291
41,58
132,133
28,30
133,175
3,3
112,139
37,42
152,160
81,150
50,59
23,23
147,169
185,327
247,283
22,22
175,207
642,750
68,110
175,266
227,278
296,313
142,180
139,144
63,84
110,121
156,225
317,498
178,220
287,315
107,132
6,7
130,155
4,9
170,175
98,138
186,261
90,93
2,2
120,161
147,155
99,126
185,208
264,352
278,428
16,17
329,502
190,220
273,367
217,246
152,191
23,28
486,538
24,26
127,153
18,19
9,32
11,13
5,5
5,11
206,243
145,310
81,90
6,8
51,83
4,4
335,508
14,15
124,177
5,5
31,42
45,48
64,80
175,237
12,16
78,130
442,462
102,115
325,356
94,134
257,268
543,631
4,4
45,46
7,7
222,294
4,4
15,15
86,103
2,2
172,282
387,390
161,213
97,126
172,233
115,126
19,22
57,61
50,64
143,149
515,590
250,354
160,228
104,140
716,823
89,100
3,4
264,373
139,148
3,3
140,148
67,78
266,319
62,76
786,891
222,291
166,197
176,188
33,41
126,198
602,623
315,571
50,59
316,475
77,85
227,326
201,215
63,69
206,265
226,328
4,6
192,211
224,404
223,289
36,38
406,491
404,421
221,292
239,362
533,627
37,55
32,37
50,70
127,226
67,77
42,43
469,536
14,18
104,129
8,11
5,6
523,632
30,32
1,2
264,268
16,16
397,410
3,4
143,195
170,190
120,129
1,1
314,347
473,545
156,204
74,75
91,145
181,248
18,21
219,346
112,149
76,87
67,75
216,281
9,10
427,447
67,67
49,70
23,27
22,22
343,496
30,35
244,345
171,202
101,133
241,330
246,272
113,137
154,195
240,268
64,75
145,209
125,162
452,487
203,220
28,32
182,186
414,466
49,58
316,421
236,367
218,243
4,5
508,515
256,264
151,185
18,18
391,479
248,281
141,233
3,3
192,260
187,276
246,378
71,101
158,225
51,53
56,61
13,17
483,505
54,59
317,560
8,10
7,7
188,224
289,334
517,527
741,849
127,147
99,122
14,14
23,33
217,280
205,241
178,235
279,330
101,118
128,155
92,118
110,123
207,228
7,7
201,305
139,195
136,165
12,15
146,214
293,321
7,7
3,3
208,232
302,319
17,17
412,696
201,302
3,3
351,558
186,302
176,279
206,285
53,60
16,23
62,68
300,467
193,317
288,492
129,137
404,474
53,56
91,109
1,1
381,414
119,153
15,16
190,200
9,10
219,266
6,10
358,621
120,140
22,23
363,377
260,434
20,21
22,26
274,313
335,360
10,14
12,17
192,226
99,118
200,248
242,351
233,295
325,363
42,44
222,316
154,207
12,14
247,256
50,53
112,135
4,5
227,296
177,198
69,75
25,26
37,55
121,170
665,747
231,241
254,330
369,479
15,15
204,279
2,5
52,60
6,7
187,210
215,286
2,2
310,391
601,729
179,253
18,19
101,106
177,196
306,351
161,185
491,729
506,552
122,127
50,59
362,428
79,80
294,301
31,35
4,4
39,41
129,147
100,107
83,96
168,217
63,64
199,202
130,160
185,204
84,103
712,772
41,55
7,8
254,320
176,199
53,53
85,95
426,454
16,18
7,10
10,13
46,59
59,64
9,12
13,15
483,525
181,233
62,104
62,64
677,776
15,24
24,39
222,363
157,203
53,63
126,174
268,336
137,215
5,6
10,11
21,22
209,404
77,80
85,108
36,39
31,35
163,195
497,508
719,750
4,5
6,6
7,11
6,6
247,332
149,241
262,290
172,181
150,194
56,64
116,125
216,220
112,127
104,215
49,54
9,9
318,407
274,280
7,8
6,8
377,455
25,47
522,572
3,3
62,72
466,550
373,436
209,282
15,16
63,81
24,27
234,273
202,281
176,223
260,264
530,585
66,83
54,70
202,228
2,3
112,124
99,106
66,87
129,257
116,124
61,66
25,29
323,413
128,162
20,26
351,470
183,322
430,469
1,2
3,4
5,5
303,483
5,8
94,96
127,131
512,525
196,418
39,46
7,15
51,58
330,494
2,2
357,648
230,358
449,474
8,14
578,605
126,133
30,32
121,153
80,153
182,291
29,32
203,272
284,481
69,106
186,209
186,262
91,105
2,2
118,118
384,402
30,39
33,34
28,33
310,332
183,254
4,4
62,68
350,474
221,397
92,148
150,163
87,114
13,21
70,85
151,157
97,141
216,452
35,37
226,282
265,413
13,14
154,161
177,208
4,4
7,12
478,547
23,23
265,313
289,305
142,171
90,142
185,254
202,222
26,28
73,85
135,139
163,214
3,4
73,74
63,68
3,3
108,111
254,483
91,114
186,224
320,331
183,241
312,420
791,856
189,216
72,88
235,290
38,56
35,40
3,5
112,154
51,52
59,62
358,381
79,84
34,42
111,141
56,65
223,348
241,264
458,485
212,313
140,193
202,317
100,117
294,330
114,169
81,86
557,585
95,106
131,133
4,5
185,207
37,42
48,57
24,24
109,139
153,189
87,120
117,159
418,436
34,36
218,250
262,430
21,25
9,13
361,380
5,5
119,124
5,6
157,226
744,784
141,157
262,457
147,159
49,59
691,791
100,126
101,122
56,72
18,18
55,60
280,342
167,361
208,298
187,247
48,91
119,123
11,11
83,97
46,46
2,2
386,417
593,654
1,1
55,84
15,16
78,89
638,687
143,195
16,19
106,128
14,16
249,267
188,208
195,228
46,58
312,357
166,172
208,221
151,197
295,337
121,137
1,1
4,4
95,103
3,4
135,189
459,546
110,121
32,43
14,17
49,50
12,14
5,13
149,192
109,202
10,13
6,7
33,37
258,385
156,194
609,653
706,837
194,210
25,28
170,237
85,111
169,214
100,128
3,3
43,53
164,184
158,174
7,7
17,17
38,45
244,390
90,97
9,11
10,13
273,279
350,359
257,281
3,3
168,194
66,91
345,361
6,7
7,9
6,7
1,1
153,207
205,303
478,495
5,5
24,25
117,186
51,65
160,203
135,145
151,168
226,486
271,310
223,233
5,5
12,14
202,225
289,308
244,305
539,551
179,244
16,21
92,96
388,452
55,63
171,238
87,93
4,4
2,3
97,123
59,61
514,527
148,192
70,73
34,34
252,282
489,508
277,288
197,231
393,420
372,591
31,34
94,120
1,1
169,238
202,281
91,124
461,476
132,256
243,338
4,5
120,163
121,151
258,299
222,292
472,511
218,296
37,48
28,29
30,43
21,27
112,146
454,560
295,409
0,1
278,309
80,92
199,234
5,5
373,638
18,18
14,20
95,130
12,12
57,62
31,31
245,272
200,282
242,354
188,219
163,181
23,33
56,62
96,99
235,347
144,244
509,544
161,247
4,9
739,825
141,172
32,33
488,508
200,214
155,171
50,55
28,28
9,12
59,62
119,148
223,278
481,634
168,176
169,232
20,20
198,255
370,439
10,15
39,46
174,230
100,121
135,186
64,82
60,64
282,310
266,296
106,139
165,229
83,127
242,254
22,26
89,161
54,54
221,310
26,28
31,39
447,584
239,513
411,678
194,263
383,433
142,205
137,151
129,227
220,253
228,380
1,1
332,374
53,56
191,245
222,364
332,341
177,224
27,45
103,155
125,155
8,10
161,188
534,562
193,379
225,251
149,212
173,182
258,332
270,499
8,9
176,202
228,246
142,151
25,26
352,416
253,346
13,20
474,566
30,51
50,55
116,124
53,56
55,61
268,316
234,334
17,23
411,432
192,398
98,125
86,103
138,192
147,180
122,133
4,5
47,60
128,209
50,51
125,134
140,160
351,569
97,130
140,180
13,16
363,607
76,109
198,225
124,146
80,92
241,297
158,238
584,665
473,538
117,117
185,289
123,150
19,26
327,376
132,165
10,10
110,127
1,1
162,200
26,26
256,263
189,290
62,80
90,92
290,383
303,405
88,142
610,638
106,142
9,10
25,31
5,5
107,112
11,11
417,456
216,229
1,2
589,627
207,280
80,99
76,84
262,273
9,9
93,138
40,50
52,62
3,4
70,71
119,150
201,402
177,215
225,250
84,141
130,172
117,135
69,82
33,52
185,261
95,109
80,95
118,120
11,12
1,3
95,146
69,94
159,178
60,65
233,263
337,482
429,465
64,88
83,107
104,123
132,155
53,71
244,377
231,314
35,37
4,4
5,6
162,169
48,63
3,5
351,355
101,132
269,389
155,229
266,330
18,20
22,27
147,150
52,52
309,478
156,183
58,64
177,227
25,26
4,4
287,378
156,201
201,256
196,242
110,117
94,101
665,733
23,33
265,317
313,347
248,265
302,483
84,100
333,353
120,165
8,10
736,818
122,130
146,232
243,332
270,344
265,342
58,74
64,64
523,532
84,87
3,3
25,30
14,22
6,10
673,781
358,402
64,79
271,403
21,24
93,120
123,148
141,194
83,87
14,17
25,32
388,469
265,276
93,111
206,217
204,239
415,499
24,30
11,11
58,62
136,169
77,99
6,7
55,61
231,272
121,127
36,36
156,230
84,106
56,65
43,50
269,456
33,35
10,11
68,73
88,107
241,245
2,4
6,8
66,68
258,402
17,23
737,759
38,75
59,71
32,39
150,164
30,37
567,686
102,105
308,339
83,95
14,14
92,147
211,217
147,157
7,9
105,114
216,415
21,22
141,210
137,225
4,4
33,33
60,68
55,59
29,41
170,218
193,254
138,145
207,335
59,62
30,33
138,151
7,7
127,185
22,29
201,273
185,193
218,342
61,63
149,176
79,91
105,124
65,80
14,24
404,668
167,177
128,178
11,12
2,4
103,108
9,10
102,141
150,153
192,210
97,116
86,115
111,136
157,249
76,95
343,398
107,113
468,656
393,412
241,294
383,651
92,97
116,159
5,7
259,268
53,55
292,403
400,421
77,139
241,329
1,1
105,110
8,8
4,5
113,178
328,441
122,177
28,31
92,110
190,217
132,181
108,145
66,79
13,13
51,91
358,425
8,8
134,151
9,9
16,16
82,108
144,198
233,267
5,5
86,109
5,6
14,14
382,473
5,6
113,157
739,846
324,342
473,686
300,381
219,245
144,148
16,17
3,3
42,43
279,432
5,6
84,115
48,71
253,281
296,308
1,1
363,375
700,721
0,1
46,58
83,140
333,374
120,147
104,110
11,17
138,162
3,5
4,5
324,387
228,250
142,145
404,678
16,17
100,108
83,89
186,298
176,216
7,11
92,102
26,26
670,698
176,194
433,489
6,9
474,515
214,447
111,149
551,582
1,2
31,31
563,590
14,14
196,270
93,120
284,325
501,517
116,124
168,226
539,568
183,254
349,372
203,247
244,300
97,121
108,125
405,433
31,37
124,137
139,153
28,31
9,11
12,22
185,192
35,38
142,220
1,1
4,4
19,21
94,143
53,53
354,384
84,91
260,362
61,68
151,174
76,123
107,110
1,3
22,24
242,321
194,207
262,290
171,219
71,101
32,35
363,451
159,247
33,45
518,596
90,90
180,286
184,198
1,2
200,213
91,106
150,176
52,53
153,178
137,151
166,195
175,203
110,146
211,267
74,85
27,28
369,375
367,531
194,245
59,76
160,236
15,18
218,306
96,113
9,9
180,217
29,30
2,2
6,6
313,367
220,226
746,858
23,24
141,297
30,37
16,23
228,253
50,68
14,20
220,230
10,13
120,152
176,199
266,334
209,221
32,36
14,16
2,2
73,84
10,10
133,142
354,362
56,64
173,243
110,119
9,15
100,116
55,64
113,178
5,5
219,365
2,6
218,259
24,26
51,54
84,87
178,254
35,41
5,5
112,141
119,126
12,16
228,239
203,234
70,93
6,7
298,410
184,286
17,17
113,137
377,388
4,8
64,77
289,300
19,27
544,564
10,12
66,86
247,369
32,33
241,382
1,1
45,46
242,272
148,163
80,80
239,368
72,77
41,44
68,89
5,10
20,21
312,332
305,315
259,268
86,104
743,868
265,312
11,16
7,7
91,96
27,29
209,251
11,13
162,209
2,2
57,71
88,125
13,19
43,53
140,270
333,343
449,539
241,258
40,47
7,8
434,707
470,556
123,148
72,93
162,247
235,253
21,26
214,258
226,274
82,104
123,134
80,97
59,62
45,50
19,27
214,254
362,584
19,20
665,801
224,385
214,373
21,31
96,141
9,10
272,323
112,176
83,129
43,54
101,140
257,276
33,46
141,165
189,286
255,415
211,232
300,541
6,7
159,201
36,47
162,216
26,28
15,17
144,166
226,305
2,4
159,268
369,591
147,167
1,1
19,36
29,30
27,31
8,9
6,7
167,226
29,32
119,141
11,12
53,59
452,469
2,2
5,5
788,890
380,484
334,353
96,120
368,617
50,66
157,195
174,200
228,292
30,50
4,7
246,253
30,38
166,235
41,54
7,8
746,790
190,243
176,231
74,75
148,211
29,30
564,652
25,30
185,190
2,2
260,316
8,9
148,186
161,165
261,353
220,265
6,7
102,108
10,14
144,150
342,610
219,287
276,348
70,83
103,114
75,81
145,152
55,69
292,367
16,16
38,44
5,5
80,103
122,138
340,419
133,182
35,36
191,254
5,6
37,39
278,356
198,205
9,11
238,316
31,31
180,252
7,8
203,232
338,388
215,257
102,109
254,288
188,207
469,518
138,166
164,232
5,5
265,284
81,89
397,468
92,171
4,6
62,65
278,428
317,396
396,421
598,662
241,327
77,82
36,40
36,43
72,90
266,407
1,1
105,145
14,17
189,212
43,60
5,6
433,508
112,131
219,288
9,11
189,236
22,23
193,306
23,24
5,5
126,137
93,181
23,26
142,166
110,124
127,175
48,61
42,43
9,10
14,15
97,114
7,7
339,492
127,130
30,30
19,19
217,266
280,358
468,487
211,229
18,18
162,165
220,287
6,6
9,10
90,108
283,313
31,31
143,222
298,306
205,314
529,601
77,101
115,152
4,5
30,46
429,491
265,272
252,277
9,14
118,148
19,26
21,21
726,815
33,36
265,299
444,468
19,20
173,203
58,64
200,221
11,13
124,141
46,47
132,170
142,177
4,4
3,3
599,664
147,192
229,364
419,509
161,202
34,39
17,31
168,222
8,8
24,24
154,227
7,7
4,4
248,288
369,554
28,31
188,275
184,192
320,347
530,596
198,248
5,6
155,181
2,2
4,4
61,79
40,45
417,528
231,371
46,55
29,33
114,120
443,470
531,554
203,236
454,517
1,2
176,186
6,6
157,174
121,164
437,452
237,310
8,8
291,322
8,10
326,334
2,2
51,86
4,4
98,110
157,165
196,221
141,180
102,128
121,149
398,459
100,110
276,451
9,9
113,118
348,387
288,321
55,64
143,226
11,11
297,368
5,6
313,330
7,13
1,1
31,49
165,170
639,658
25,36
43,56
434,486
746,856
396,466
211,226
7,8
125,163
155,168
123,159
161,226
113,154
74,87
54,64
240,436
11,14
47,52
8,10
16,28
351,435
145,182
296,435
17,19
465,529
228,254
251,343
16,19
388,626
118,173
63,71
0,1
79,88
29,37
201,278
54,62
583,601
64,125
86,123
1,1
397,465
62,68
88,101
89,99
56,57
50,55
242,341
128,141
41,43
231,291
304,316
33,34
366,642
151,161
1,3
433,486
110,147
22,23
166,197
153,238
812,887
103,207
61,80
23,25
212,226
61,69
298,360
176,241
97,100
20,33
331,448
50,57
4,4
652,689
270,320
269,281
277,342
132,140
56,62
8,8
34,41
97,103
115,144
68,115
298,349
73,88
18,19
310,513
157,233
88,154
211,284
147,173
2,2
114,126
252,259
274,287
140,167
281,318
415,456
11,16
483,568
751,834
46,51
6,7
78,81
332,431
17,29
471,530
32,38
354,575
279,404
140,157
182,240
312,495
221,245
347,404
202,283
5,5
149,224
59,78
64,75
187,318
57,61
103,121
4,4
88,149
74,97
340,419
121,166
103,127
30,35
8,9
5,7
13,17
63,87
191,222
2,2
24,36
71,105
6,6
115,120
348,383
522,622
138,173
162,173
209,221
16,16
139,182
10,12
8,13
473,533
136,161
252,257
245,416
2,2
4,4
10,11
289,293
108,109
31,35
8,8
72,94
7,7
19,20
156,173
290,321
379,635
346,354
242,293
230,282
6,6
123,146
238,291
100,101
233,244
4,4
37,42
230,493
437,626
